Source IP,Destination IP,Date,Total Flow Duration,Total Forward Packets,Average Flow Duration,StdDev Flow Duration,Average Forward Packets,StdDev Forward Packets
192.168.20.43,52.45.18.59,2022-03-11,13845412127.00,618,13845412127.00,0.00,618.00,0.00
18.230.114.81,192.168.20.48,2022-07-10,2392.00,2,2392.00,0.00,2.00,0.00
192.168.20.48,54.215.58.112,2022-02-11,812790.00,21,3074662.50,2261872.50,50.50,29.50
192.168.20.43,52.217.230.40,2022-07-10,25474955.00,140,25474955.00,0.00,140.00,0.00
52.46.137.107,192.168.20.43,2022-07-10,1408.00,2,1408.00,0.00,2.00,0.00
192.168.20.43,52.20.185.33,2022-03-11,997135396.00,126,997135396.00,0.00,126.00,0.00
34.231.63.97,192.168.20.48,2022-02-11,475727.00,2,475727.00,0.00,2.00,0.00
192.168.20.48,157.175.254.63,2022-07-10,1195006.00,54,1195006.00,0.00,54.00,0.00
192.168.20.48,3.233.174.130,2022-02-11,4573432.00,86,4573432.00,0.00,86.00,0.00
3.112.156.31,192.168.20.48,2022-03-11,818553.00,5,818553.00,0.00,5.00,0.00
52.46.137.107,192.168.20.48,2022-07-10,6305.00,3,6305.00,0.00,3.00,0.00
192.168.20.43,34.239.216.180,2022-02-11,4686340.00,77,20063251.50,15376911.50,216.50,139.50
192.168.20.48,52.46.137.107,2022-07-10,385828.00,12,385828.00,0.00,12.00,0.00
192.168.20.43,3.13.113.38,2022-02-11,112645831.00,14,112645831.00,0.00,14.00,0.00
192.168.20.42,216.58.214.74,2022-03-11,292238770.00,95,292238770.00,0.00,95.00,0.00
34.228.101.107,192.168.20.48,2022-03-11,7123.00,5,7123.00,0.00,5.00,0.00
54.209.44.8,192.168.20.43,2022-03-11,1597.00,3,1597.00,0.00,3.00,0.00
192.168.20.43,209.54.179.231,2022-07-10,410277.00,11,410277.00,0.00,11.00,0.00
192.168.20.43,54.211.51.111,2022-02-11,820301670.00,46,13885545242.00,13065243572.00,615.00,569.00
192.168.20.43,209.54.179.230,2022-03-11,348428.00,12,348428.00,0.00,12.00,0.00
35.178.87.88,192.168.20.48,2022-03-11,8750.00,4,8750.00,0.00,4.00,0.00
192.168.20.48,54.146.171.119,2022-07-10,827598.00,36,827598.00,0.00,36.00,0.00
192.168.20.43,52.46.144.154,2022-02-11,82621.00,5,82621.00,0.00,5.00,0.00
192.168.20.48,13.37.191.91,2022-03-11,513289.00,91,513289.00,0.00,91.00,0.00
192.168.20.43,209.54.179.233,2022-02-11,371622.00,12,360576.00,11046.00,12.00,0.00
192.168.20.48,3.214.58.173,2022-02-11,77066.00,1,77066.00,0.00,1.00,0.00
192.168.20.19,52.210.32.69,2022-02-11,354084755.00,100,5067590452.50,4713505697.50,1366.50,1266.50
192.168.20.48,35.178.87.88,2022-03-11,804764.00,71,804764.00,0.00,71.00,0.00
192.168.20.43,3.226.196.104,2022-03-11,23826583.00,145,23826583.00,0.00,145.00,0.00
192.168.20.43,52.84.186.193,2022-02-11,298660.00,12,298660.00,0.00,12.00,0.00
192.168.20.43,52.94.239.40,2022-07-10,458272.00,12,458272.00,0.00,12.00,0.00
18.229.75.205,192.168.20.48,2022-03-11,14770.00,7,14770.00,0.00,7.00,0.00
192.168.20.43,52.94.218.69,2022-03-11,103306038.00,30,103306038.00,0.00,30.00,0.00
192.168.20.43,52.216.40.217,2022-01-11,8777214.00,316,8777214.00,0.00,316.00,0.00
192.168.20.43,34.206.0.194,2022-02-11,193091020.00,65,193091020.00,0.00,65.00,0.00
52.46.137.106,192.168.20.43,2022-03-11,1552.00,3,1552.00,0.00,3.00,0.00
192.168.20.42,216.58.214.78,2022-03-11,223430207.00,42,223430207.00,0.00,42.00,0.00
192.168.20.48,34.250.50.152,2022-03-11,1990665.00,94,1990665.00,0.00,94.00,0.00
52.94.220.255,192.168.20.43,2022-03-11,30818.00,1,30818.00,0.00,1.00,0.00
52.27.163.92,192.168.20.48,2022-03-11,426348.00,3,426348.00,0.00,3.00,0.00
192.168.20.43,52.46.137.248,2022-02-11,625792.00,13,625792.00,0.00,13.00,0.00
192.168.20.42,142.250.74.238,2022-02-11,227140336.00,40,3227138273.50,2999997937.50,500.50,460.50
205.251.206.22,192.168.20.43,2022-03-11,37533.00,31,37533.00,0.00,31.00,0.00
44.193.236.65,192.168.20.48,2022-03-11,2442466.00,34,2442466.00,0.00,34.00,0.00
192.168.20.42,142.250.74.234,2022-03-11,90762627.00,31,90762627.00,0.00,31.00,0.00
192.168.20.45,74.125.140.109,2022-07-10,10059238.00,4,10059238.00,0.00,4.00,0.00
34.226.101.100,192.168.20.48,2022-07-10,11326.00,5,11326.00,0.00,5.00,0.00
205.251.206.22,192.168.20.48,2022-03-11,15829.00,27,15829.00,0.00,27.00,0.00
192.168.20.45,74.125.140.108,2022-07-10,60445362.00,24,60445362.00,0.00,24.00,0.00
54.243.58.104,192.168.20.43,2022-03-11,84.00,2,84.00,0.00,2.00,0.00
192.168.20.10,194.57.169.1,2022-02-11,56044.00,5,56044.00,0.00,5.00,0.00
52.27.163.92,192.168.20.43,2022-02-11,1571.00,3,1571.00,0.00,3.00,0.00
54.243.58.104,192.168.20.48,2022-02-11,945.00,1,2140234.50,2139289.50,61.00,60.00
72.21.207.82,192.168.20.48,2022-03-11,49950.00,2,49950.00,0.00,2.00,0.00
192.168.20.43,54.239.26.255,2022-02-11,469108.00,12,469108.00,0.00,12.00,0.00
104.199.109.192,192.168.20.10,2022-02-11,3670383.00,12,3670383.00,0.00,12.00,0.00
52.222.165.187,192.168.20.43,2022-03-11,1199488523.00,50,1199488523.00,0.00,50.00,0.00
52.222.165.187,192.168.20.48,2022-03-11,19269.00,6,19269.00,0.00,6.00,0.00
